BOOST MOBILE - DEVICE HOTSHEET,,,,,,,,,,
Effective:3/17/23,,,,,,,,,,
Device Name,XP,"GSF(BTN/",SRP,Port-In Pricing (2),New Pricing (1),"Upgrade(Eligible)","Add A Line(XP/Legacy) (3)",ACP Pricing (1),Tier 1,
Apple iPhone 12 Pro - 512GB,Y,Y,"$1,299.99","$1,099.99","$1,099.99","$1,099.99","$1,099.99",,,Y
Apple iPhone 13 - 128GB,Y,Y,$729.99,$729.99,$729.99,$729.99,$729.99,,,Y
Apple iPhone 13 - 512GB,Y,Y,"$1,029.99","$1,029.99","$1,029.99","$1,029.99","$1,029.99",,,Y
Apple iPhone 13 mini - 128GB,Y,Y,$629.99,$629.99,$629.99,$629.99,$629.99,,,Y
Apple iPhone 13 Pro - 128GB,Y,Y,$899.99,$899.99,$899.99,$899.99,$899.99,,,Y
Apple iPhone 13 Pro - 512GB,Y,Y,"$1,199.99","$1,199.99","$1,199.99","$1,199.99","$1,199.99",,,Y
Apple iPhone 13 Pro Max - 128GB,Y,Y,$999.99,$999.99,$999.99,$999.99,$999.99,,,Y
Apple iPhone 14 - 128GB,,Y,$829.99,$829.99,$829.99,$829.99,$829.99,,,Y
Apple iPhone 14 Plus - 128GB,,Y,$929.99,$929.99,$929.99,$929.99,$929.99,,,Y
Apple iPhone 14 Pro - 128GB,,Y,$999.99,$999.99,$999.99,$999.99,$999.99,,,Y
Apple iPhone 14 Pro Max - 128GB,,Y,"$1,099.99","$1,099.99","$1,099.99","$1,099.99","$1,099.99",,,Y
"",,,,,,,,,,
End of Life Devices,,,,,,,,,,
Wiko Ride 3,Y,,$99.99,Free,Free,$59.99,$59.99,,,
moto g PLAY,Y,,$129.99,Free,Free,$59.99,$59.99,$15.00,,
Samsung Galaxy A10e,Y,,$139.99,Free,Free,$39.99,$39.99,$5.00,,
Coolpad Brisa,Y,,$159.99,Free,Free,$79.99,$79.99,,,
moto g POWER,Y,,$169.99,Free,Free,$69.99,$69.99,$25.00,,
moto g STYLUS,Y,,$179.99,Free,Free,$149.99,$149.99,$5.00,$5.00,
Samsung Galaxy A12,Y,Y,$179.99,Free,Free,$49.99,$49.99,$10.00,,
Samsung A32 5G,Y,Y,$279.99,Free,Free,$179.99,$179.99,,,
Samsung A51,Y,,$399.99,$79.99,$79.99,$229.99,$229.99,,,
Samsung A71,Y,Y,$429.99,$199.99,$199.99,$299.99,$299.99,,,
Samsung Galaxy S20 FE,Y,,$699.99,$449.99,$449.99,$499.99,$499.99,,,Y
Re-Newed iPhone 7 - 32GB,Y,,$199.99,$9.99,$9.99,$49.99,$49.99,$10.00,,
Re-Newed iPhone 8 - 64/256GB,Y,Y,$249.99,$9.99,$9.99,$59.99,$59.99,$10.00,,
Re-Newed iPhone 8+ - 64GB,Y,Y,$299.99,$19.99,$19.99,$99.99,$99.99,$25.00,,
Re-Newed iPhone X - 64GB,Y,Y,$329.99,$19.99,$19.99,$129.99,$129.99,$25.00,,
Re-Newed iPhone SE GEN 2 - 64/128/256GB,Y,Y,$249.99,Free,Free,$49.99,$49.99,$25.00,,
"",,,,,,,,,,
MBB,,,ACP MBB Plans,,,,,,,
Joy Tab 2,Y,,$129.99,N/A,N/A,$10.01,N/A,,$10.01,
TCL Tab Lite,Y,Y,$119.99,N/A,N/A,$10.01,N/A,,$10.01,
Alcatel Linkzone 2 (MBB),Y,,$49.99,N/A,N/A,Free,N/A,,$24.99,
Coolpad Stream (MBB),Y,,$49.99,N/A,N/A,$49.99,N/A,,$24.99,
"",,,,,,,,,,
